Index	Sample ID	Sample Group	Sentrix Barcode	Sample Section	Detected Genes (0.01)	Detected Genes (0.05)	Signal Average	Signal P05	Signal P25	Signal P50	Signal P75	Signal P95	BIOTIN	CY3_HYB	HOUSEKEEPING	LABELING	LOW_STRINGENCY_HYB	NEGATIVE (background)	Noise
1	9253003035_A	7.5dpp	9253003035	A	11432	13378	785.8201	64.16531	75.83705	101.7438	379.1308	3215.242	9145.189	5538.234	18858.1	72.61459	4329.843	79.09711	15.8442
2	9253003035_B	14.5dpp	9253003035	B	11186	13529	548.4881	57.83463	67.20258	87.51214	288.312	2293.996	7486.397	4536.143	11871.19	66.15251	3499.511	69.94882	12.53682
3	9253003035_C	7.5dpp	9253003035	C	11117	13229	510.5506	55.65506	63.91622	80.67508	250.7074	1987.954	5888.053	3815.813	13251.32	60.83198	2965.613	66.44105	11.12781
4	9253003035_D	14.5dpp	9253003035	D	11225	13601	464.0218	55.06965	63.25444	80.10051	243.295	1913.431	5364.408	3217.398	10452.98	58.45274	2498.661	65.45461	10.57347
5	9253003035_E	7.5dpp	9253003035	E	11113	13486	462.321	55.93481	63.80252	79.78744	235.1591	1808.884	4976.884	2788.598	11514.12	62.08966	2182.603	66.27924	10.15423
6	9253003035_F	14.5dpp	9253003035	F	11576	13912	466.1897	51.14785	58.80972	74.38931	241.1734	1942.779	4107.657	2657.646	10505.42	56.25701	2073.009	60.47972	9.036433
7	9253003063_A	21.5dpp	9253003063	A	12288	14597	563.1877	51.45496	59.03174	76.01257	256.9125	2439.535	6991.205	3890.127	9957.003	58.28177	3019.844	60.06469	8.643389
8	9253003063_B	21.5dpp	9253003063	B	12250	14939	546.3627	49.30768	56.26887	72.36723	247.2993	2371.581	5815.224	3434.57	9550.624	54.36694	2671.403	56.67587	7.994696
9	9253003063_C	21.5dpp	9253003063	C	11856	14190	538.8118	49.68178	57.12529	75.89194	257.8159	2340.861	5358.263	3237.699	9764.378	54.98415	2523.667	58.42955	10.21559
10	9253003063_D	21.5cdpp	9253003063	D	12285	14699	608.7908	49.55651	56.69998	74.98412	305.4661	2608.705	5483.38	3334.535	14257.46	55.895	2597.315	57.55838	9.003725
11	9253003063_E	21.5cdpp	9253003063	E	12021	14505	541.639	49.55308	56.74574	73.47993	277.7326	2264.522	4474.625	2877.453	13049.92	55.10055	2244.807	57.59571	8.844944
12	9253003063_F	21.5cdpp	9253003063	F	12304	14724	572.8206	49.35483	56.80235	74.60599	290.7844	2458.477	4607.095	2723.79	13236.69	55.91482	2134.18	57.83317	8.766635
13	9253003022_A	9.5dpp	9253003022	A	11650	14070	527.0098	56.60072	64.50633	77.76687	253.5892	2096.973	14724.34	7788.874	13336.19	63.65793	5965.224	65.55798	8.055912
14	9253003022_B	9.5dpp	9253003022	B	9942	12290	452.2254	55.96861	62.67746	71.25997	146.6945	1363.917	13331.17	6855.154	12813.43	62.59294	5244.073	64.51741	7.088077
15	9253003022_C	9.5dpp	9253003022	C	12008	13912	536.861	60.4696	68.91158	83.66842	275.6998	2189.864	12808.82	7372.491	12383.78	70.2707	5636.958	70.27715	8.710211
16	9253003022_D	11.5dpp	9253003022	D	10989	12935	492.7039	57.95525	65.52772	76.59952	203.6217	1920.239	11340.22	6078.744	12177.81	66.55817	4686.612	67.27892	7.798265
17	9253003022_E	11.5dpp	9253003022	E	11699	13799	514.4615	60.71357	68.90292	83.06487	261.648	2138.094	12739.41	6266.812	11649.73	68.3204	4822.182	70.53441	8.279268
18	9253003022_F	11.5dpp	9253003022	F	11908	13797	444.1473	57.91569	65.38544	77.50077	224.6272	1783.731	10638.06	6309.138	10180.42	66.54909	4849.078	66.34502	7.484793
19	9253003053_A	13.5dpp	9253003053	A	13110	15045	527.8342	60.54731	67.23743	80.62173	276.9037	2212.473	17282.9	8392.049	10846.27	67.187	6495.998	67.15196	6.148121
